level,file,issue,metric,n
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PRI_PRD,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PT,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PT_MORENA,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PVEM,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PVEM_MORENA,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PVEM_PT,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,PVEM_PT_MORENA,37
SEC,2024_SEE_DIP_FED_MR_NAL_SEC.csv,missing_in_warehouse,TOTAL_VOTOS,37
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,MC,37
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,MORENA,37
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,NUM_VOTOS_VALIDOS,37
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,PAN,37
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,PRI,37
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,PT,37
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,PVEM,37
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,TOTAL_VOTOS,37
SEC,2024_SEE_DIP_FED_RP_NAL_SEC.csv,value_mismatch,PT_MORENA,36
SEC,2024_SEE_SEN_FED_RP_NAL_SEC.csv,value_mismatch,NUM_VOTOS_NULOS,36
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,value_mismatch,NUM_VOTOS_VALIDOS,33
DIS,2024_SEE_DIP_FED_RP_NAL_DISPP.csv,value_mismatch,TOTAL_VOTOS,33
